;Index;wheat;maize;soybeans;rice;class;Word1;Word2;Word3;Word4;Word5
1852;38603;0.0;0.0;0.0;0.0;5.0;chipotl;said;compani;custom;share
1853;3369;0.0;0.0;0.0;0.0;5.0;said;china;chalco;li;compani
1854;23081;0.0;0.0;0.0;0.0;5.0;said;ellison;america;team;sail
1855;21688;27.0;22.0;11.0;10.0;0.0;cotton;price;wheat;futur;corn
1856;20696;0.0;0.0;0.0;0.0;5.0;isi;name;mobil;ceo;michael
1857;40188;0.0;0.0;0.0;0.0;5.0;toyota;said;share;compani;year
1858;5762;0.0;0.0;0.0;0.0;5.0;said;japan;abe;visit;japanes
1859;30701;0.0;0.0;0.0;0.0;5.0;boj;said;percent;400;jpxnikkei
1860;33262;38.0;32.0;29.0;19.0;0.0;wheat;price;soybean;corn;futur
1861;43440;0.0;0.0;0.0;0.0;5.0;googl;vehicl;car;said;driver
1862;28237;0.0;0.0;0.0;0.0;5.0;imf;vote;merkel;said;bailout
1863;34963;0.0;0.0;0.0;0.0;5.0;merkel;leader;asylum;set;year
1864;33035;0.0;0.0;0.0;0.0;5.0;uber;delhi;said;rape;victim
1865;55238;0.0;0.0;0.0;0.0;5.0;percent;short;moder;manag;said
1866;13558;2.0;1.0;0.0;1.0;5.0;back;nt;vlad;like;oil
1867;15822;2.0;2.0;1.0;3.0;5.0;vfd;drug;fda;use;anim
1868;58798;0.0;0.0;0.0;0.0;5.0;chocol;like;make;drink;factori
1869;17527;0.0;0.0;0.0;0.0;5.0;percent;year;govern;dividend;compani
1870;19365;0.0;0.0;0.0;0.0;5.0;tim;bloomberg;bryan;word;possibl
1871;622;40.0;33.0;33.0;20.0;0.0;wheat;soybean;price;corn;futur
1872;9979;19.0;16.0;14.0;11.0;0.0;12;mmt;close;crop;wheat
1873;35667;0.0;0.0;0.0;0.0;5.0;global;liberti;kabel;deutschland;would
1874;18323;57.0;42.0;27.0;30.0;0.0;wheat;harvest;price;corn;futur
1875;49825;0.0;0.0;0.0;0.0;5.0;soni;yen;billion;busi;year
1876;20465;0.0;0.0;0.0;0.0;5.0;car;vaculik;aeromobil;say;fli
1877;38220;0.0;0.0;0.0;0.0;5.0;win;state;poll;wisconsin;sander
1878;53742;0.0;0.0;0.0;0.0;5.0;oi;euro;billion;telecom;altic
1879;60330;0.0;0.0;0.0;0.0;5.0;tmobil;dish;deal;said;would
1880;15759;0.0;0.0;0.0;0.0;5.0;said;drug;us;compani;glaxo
1881;9217;1.0;0.0;1.0;0.0;5.0;food;inform;label;veget;mandatori
1882;10397;4.0;2.0;0.0;0.0;5.0;mmt;last;wheat;stock;back
1883;42379;0.0;0.0;0.0;0.0;5.0;us;china;percent;product;manufactur
1884;31187;0.0;0.0;0.0;0.0;5.0;said;brazier;financi;also;sourc
1885;39639;0.0;0.0;0.0;0.0;5.0;million;netflix;compani;quarter;said
1886;18100;0.0;0.0;0.0;0.0;5.0;gm;us;switch;said;recal
1887;8081;15.0;13.0;10.0;5.0;0.0;cent;close;wheat;corn;11
1888;58905;0.0;0.0;0.0;0.0;5.0;percent;index;fell;declin;south
1889;58223;0.0;0.0;0.0;0.0;5.0;show;tucson;set;year;collector
1890;14786;12.0;7.0;5.0;3.0;0.0;wheat;mmt;us;bean;kansa
1891;31006;0.0;0.0;0.0;0.0;5.0;bank;said;percent;fsb;asset
1892;4046;0.0;0.0;0.0;2.0;5.0;brand;tiger;matlar;board;ceo
1893;52975;0.0;0.0;0.0;0.0;5.0;swap;new;bank;index;govern
1894;52724;0.0;0.0;0.0;0.0;5.0;may;market;data;demand;month
1895;9249;24.0;31.0;16.0;19.0;1.0;food;output;year;fao;crop
1896;31646;0.0;0.0;0.0;0.0;5.0;bank;consum;institut;regul;bureau
1897;21379;30.0;34.0;9.0;11.0;1.0;corn;wheat;tonn;futur;price
1898;6246;11.0;2.0;0.0;13.0;3.0;mill;olam;nigeria;wheat;pasta
1899;19159;0.0;0.0;0.0;0.0;5.0;ovetton;watch;bracelet;rolex;gold
1900;21696;36.0;28.0;16.0;17.0;0.0;wheat;futur;glencor;price;corn
1901;748;24.0;13.0;5.0;11.0;0.0;mtha;wheat;million;year;yield
1902;12735;32.0;22.0;16.0;18.0;0.0;wheat;harvest;yield;crop;year
1903;12864;1.0;0.0;0.0;0.0;5.0;day;go;also;ars;canadian
1904;4234;6.0;3.0;3.0;0.0;0.0;million;bushel;tonn;2016;octob
1905;22038;0.0;0.0;0.0;0.0;5.0;use;crime;polic;said;identifi
